"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @RoyaleKOAT: Our #election planning meeting. Our crews are heading out now, to bring you complete coverage at 4, 5, 6 &amp; 10. #abq #koat #…",FALSE,0,NA,2017-10-03 21:01:54,FALSE,NA,"915321032122224640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","koat7news",1,TRUE,FALSE,NA,NA
"RT @kwilli1046: #Wikileaks Bombshell: #Podesta Emails Prove #Facebook Colluded With Hillary #Clinton During #Election https://t.co/9vuwdM80…",FALSE,0,NA,2017-10-03 20:57:45,FALSE,NA,"915319989401464832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PatriotJewelUSA",795,TRUE,FALSE,NA,NA
"RT @LauriDMeizler: Now what? DHS: #RussianHackers Targeted 21 States During #Election https://t.co/SHiHKaG0Nj via @thedailybeast",FALSE,0,NA,2017-10-03 20:57:41,FALSE,NA,"915319971932246016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","eldiablo0786",1,TRUE,FALSE,NA,NA
"RT @kwilli1046: #Wikileaks Bombshell: #Podesta Emails Prove #Facebook Colluded With Hillary #Clinton During #Election https://t.co/9vuwdM80…",FALSE,0,NA,2017-10-03 20:53:27,FALSE,NA,"915318905903697922",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mommasew",795,TRUE,FALSE,NA,NA
"RT @jim3love: There'll be #NO #election in #Anambra #Biafraland come 18th Nov 2017. We must do everything possible to restore #Biafra. 
#Bi…",FALSE,0,NA,2017-10-03 20:50:33,FALSE,NA,"915318176367484928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chimdiya1",44,TRUE,FALSE,NA,NA
"Our #election planning meeting. Our crews are heading out now, to bring you complete coverage at 4, 5, 6 &amp; 10. #abq… https://t.co/MYDFXhlQW3",FALSE,1,NA,2017-10-03 20:47:55,TRUE,NA,"915317514564857856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RoyaleKOAT",1,FALSE,FALSE,NA,NA
"RT @kwilli1046: #Wikileaks Bombshell: #Podesta Emails Prove #Facebook Colluded With Hillary #Clinton During #Election https://t.co/9vuwdM80…",FALSE,0,NA,2017-10-03 20:45:01,FALSE,NA,"915316785020329984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stephenjus",795,TRUE,FALSE,NA,NA
"RT @kwilli1046: #Wikileaks Bombshell: #Podesta Emails Prove #Facebook Colluded With Hillary #Clinton During #Election https://t.co/9vuwdM80…",FALSE,0,NA,2017-10-03 20:43:55,FALSE,NA,"915316506854117376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gatorman9611",795,TRUE,FALSE,NA,NA
"RT @kwilli1046: #Wikileaks Bombshell: #Podesta Emails Prove #Facebook Colluded With Hillary #Clinton During #Election https://t.co/9vuwdM80…",FALSE,0,NA,2017-10-03 20:40:27,FALSE,NA,"915315633641881607",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LenoraKliemisch",795,TRUE,FALSE,NA,NA
"RT @jbarnesnews: Prettiest #polling place contest, anyone? (Click for vertical photo) #Buttonwood Warming House, #NewBedford. #election @so…",FALSE,0,NA,2017-10-03 20:40:27,FALSE,NA,"915315631997751296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","southcoasttoday",2,TRUE,FALSE,NA,NA
